[2024-12-17T18:04:58.085Z] - João Vitor | DESMARCOU | SPED FISCAL - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T18:05:00.415Z] - João Vitor | DESMARCOU | SPED FISCAL - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T18:05:02.940Z] - João Vitor | DESMARCOU | DEI - 11/2024 | B & G RESTAURANTES LTDA
[2024-12-17T18:05:05.266Z] - João Vitor | DESMARCOU | DAE - 11/2024 | B & G RESTAURANTES LTDA
[2024-12-17T18:05:07.160Z] - João Vitor | DESMARCOU | DEI - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T18:05:08.935Z] - João Vitor | DESMARCOU | DAE - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T18:05:53.309Z] - João Vitor | MARCOU | DEI - 11/2024 | B & G RESTAURANTES LTDA
[2024-12-17T18:05:57.129Z] - João Vitor | MARCOU | DEI - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T19:00:11.494Z] - João Vitor | MARCOU | SPED FISCAL - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T19:00:13.845Z] - João Vitor | DESMARCOU | ICMS NORMAL - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2025-01-03T19:04:39.546Z] - João Vitor | MARCOU | EFD REINF - 1/2025 | ATACADAO MOTO PECAS LTDA
